Reservation {0} has been successfully submitted with status '{1}'.,تم تقديم الحجز {0} بنجاح مع الحالة '{1}'.
Return Date,تاريخ العودة
Return Date is required,تاريخ العودة مطلوب
Return Details,تفاصيل الإرجاع
Return Reservation,حجز العودة
Return Successful,عودة ناجحة
Select an item first,حدد العنصر أولاً
Source Warehouse is required for delivery,يجب أن يكون مستودع المصدر مطلوبًا للتسليم
Source Warehouse is required for return,يجب أن يكون مستودع المصدر مطلوبًا للإرجاع
Start Date and End Date are required,تاريخ البدء وتاريخ الانتهاء مطلوبان
Stock Entry Delivery,تسليم إدخالات الأسهم
Stock Entry Return,عائد دخول الأسهم
Submission Successful,تم الإرسال بنجاح
Suit Rental Manager,مدير تأجير البدلات
Suit Rental User,مستخدم تأجير البدلات
Suit Reservation,حجز البدلة
Suit Reservation Default,حجز البدلة افتراضيًا
Total stock in Sales Warehouse,إجمالي المخزون في مستودع المبيعات
Unknown error,خطأ غير معروف
Uom,وحدة القياس
User Forum,منتدى المستخدمين
Warehouse is required,المستودع مطلوب
qty,الكمية
uom,وحدة
Suit Rental,تأجير البدلات
ShortCuts,الإختصارات
New Reservation,اضافة حجز جديد
New Item,اضافة صنف جديد
New Customer,اضافة عميل جديد
Menus,القوائم
Reservation,الحجز
Reservation Statistics Report,تقرير احصائيات الحجوزات
Active Reservations Report,تقرير تفاصيل الحجز
Reservation Totals Report,تقرير اجماليات الحجز
Total Sales,إجمالي المبيعات
Count of Transactions,عدد الحركات
Branch,الفرع
Deliveries Pending,تسليمات معلقة
Returns Pending,متأخرات العملاء
Active Reservations,الحجوزات النشطة
Customer Mobile,موبايل العميل
Total Value,المبلغ الاجمالي
Reservation Reports,تقارير الحجوزات
Totals from Suit Reservation,أجماليات حجوزات البدل
Suit Reservation Statistics,احصائيات حجوزات البدل
Suit Reservation Chart,مخطط الحجوزات
